TID: [2024-01-16 14:16:56,886]  INFO {org.wso2.config.mapper.ConfigParser} - Initializing configurations with deployment configurations {org.wso2.config.mapper.ConfigParser}
TID: [-1234] [] [2024-01-16 14:17:07,539]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Starting WSO2 Carbon...
TID: [-1234] [] [2024-01-16 14:17:07,550]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Operating System : Linux 6.2.0-39-generic, amd64
TID: [-1234] [] [2024-01-16 14:17:07,551]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Java Home        : /opt/java/openjdk
TID: [-1234] [] [2024-01-16 14:17:07,551]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Java Version     : 11.0.10
TID: [-1234] [] [2024-01-16 14:17:07,551]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Java VM          : OpenJDK 64-Bit Server VM 11.0.10+9,AdoptOpenJDK
TID: [-1234] [] [2024-01-16 14:17:07,552]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Carbon Home      : /home/wso2carbon/wso2am-4.0.0
TID: [-1234] [] [2024-01-16 14:17:07,552]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - Java Temp Dir    : /home/wso2carbon/wso2am-4.0.0/tmp
TID: [-1234] [] [2024-01-16 14:17:07,552]  INFO {org.wso2.carbon.core.internal.CarbonCoreActivator} - User             : wso2carbon, en-US, GMT
TID: [-1] [] [2024-01-16 14:17:07,757]  INFO {org.wso2.carbon.crypto.provider.internal.DefaultCryptoProviderComponent} - 'CryptoService.Secret' property has not been set. 'org.wso2.carbon.crypto.provider.SymmetricKeyInternalCryptoProvider' won't be registered as an internal crypto provider. Please set the secret if the provider needs to be registered.
TID: [-1] [] [2024-01-16 14:17:08,160]  INFO {org.wso2.carbon.event.output.adapter.kafka.internal.ds.KafkaEventAdapterServiceDS} - Successfully deployed the Kafka output event adaptor service
TID: [-1] [] [2024-01-16 14:17:08,402]  INFO {org.wso2.carbon.event.template.manager.core.internal.ds.TemplateDeployerServiceTrackerDS} - Successfully deployed the execution manager tracker service
TID: [-1234] [] [2024-01-16 14:17:11,497]  INFO {org.wso2.carbon.consent.mgt.core.internal.ConsentManagerComponent} - ConsentManagerComponent is activated.
